step,train_loss,learning_rate,tokens_per_sec
3580,1.632874,1.45e-04,200.1
3590,1.797059,1.45e-04,212.8
3600,1.449328,1.45e-04,205.5
3610,1.556277,1.45e-04,196.3
3620,1.421747,1.44e-04,197.0
3630,1.794011,1.44e-04,225.9
3640,1.427442,1.44e-04,190.7
3650,1.522375,1.43e-04,202.4
3660,1.572360,1.43e-04,205.4
3670,1.628384,1.43e-04,204.0
3680,1.906693,1.42e-04,226.2
3690,1.616373,1.42e-04,209.3
3700,1.438955,1.42e-04,207.3
3710,1.670802,1.42e-04,218.6
3720,1.861619,1.41e-04,224.8
3730,1.720043,1.41e-04,214.8
3740,1.653888,1.41e-04,213.0
3750,1.705059,1.40e-04,227.6
3760,1.698553,1.40e-04,217.1
3770,1.759047,1.40e-04,222.9
3780,1.652967,1.39e-04,223.5
3790,1.326105,1.39e-04,188.9
3800,1.643130,1.39e-04,214.4
3810,1.654235,1.39e-04,215.9
3820,1.562551,1.38e-04,205.4
3830,1.708498,1.38e-04,221.3
3840,1.331312,1.38e-04,189.1
3850,1.608734,1.37e-04,200.0
3860,1.653310,1.37e-04,212.4
3870,1.756877,1.37e-04,224.4
3880,1.788303,1.36e-04,210.6
3890,1.664285,1.36e-04,208.6
3900,1.921086,1.36e-04,209.2
3910,1.982015,1.35e-04,224.8
3920,1.709475,1.35e-04,202.1
3930,1.827597,1.35e-04,225.0
3940,1.656191,1.34e-04,214.7
3950,1.619011,1.34e-04,211.9
3960,1.530531,1.34e-04,206.6
3970,1.694596,1.34e-04,222.3
3980,1.573478,1.33e-04,207.7
3990,1.875871,1.33e-04,226.1
4000,1.541972,1.33e-04,208.7
4010,1.720306,1.32e-04,219.2
4020,1.388307,1.32e-04,185.9
4030,1.637576,1.32e-04,230.8
4040,1.734259,1.31e-04,218.8
4050,1.615683,1.31e-04,212.8
4060,1.671537,1.31e-04,229.4
4070,1.687786,1.30e-04,209.1
4080,1.513098,1.30e-04,188.1
4090,1.462650,1.30e-04,199.5
4100,1.416375,1.29e-04,198.3
4110,1.661931,1.29e-04,217.6
4120,1.646078,1.29e-04,203.1
4130,1.540879,1.28e-04,214.8
4140,1.623073,1.28e-04,218.0
4150,1.288408,1.28e-04,192.8
4160,1.620697,1.27e-04,203.7
4170,1.579885,1.27e-04,205.3
4180,1.681903,1.27e-04,218.1
4190,1.604278,1.27e-04,213.3
4200,1.309985,1.26e-04,189.6
4210,1.492634,1.26e-04,210.0
4220,1.246358,1.26e-04,192.3
4230,1.390982,1.25e-04,197.3
4240,1.657775,1.25e-04,220.2
4250,1.670461,1.25e-04,224.8
4260,1.263094,1.24e-04,196.1
4270,1.478477,1.24e-04,217.2
4280,1.545347,1.24e-04,208.1
4290,1.529020,1.23e-04,227.5
4300,1.591684,1.23e-04,193.2
4310,1.651378,1.23e-04,208.5
4320,1.707928,1.22e-04,221.8
4330,1.559938,1.22e-04,211.3
4340,1.868883,1.22e-04,242.5
4350,1.302337,1.21e-04,197.4
4360,1.543238,1.21e-04,227.2
4370,1.713306,1.21e-04,239.9
4380,1.315880,1.20e-04,196.8
4390,1.577307,1.20e-04,212.4
4400,1.616122,1.20e-04,225.7
4410,1.596421,1.19e-04,219.9
4420,1.561817,1.19e-04,215.9
4430,1.655239,1.19e-04,219.2
4440,1.442374,1.18e-04,201.6
4450,1.531296,1.18e-04,216.4
4460,1.523328,1.18e-04,209.2
4470,1.653615,1.17e-04,220.9
4480,1.766377,1.17e-04,222.8
4490,1.593471,1.17e-04,217.3
4500,1.421807,1.16e-04,198.3
4510,1.620026,1.16e-04,218.7
4520,1.482877,1.16e-04,204.6
4530,1.503628,1.15e-04,203.0
4540,1.275538,1.15e-04,187.1
4550,1.488171,1.15e-04,201.8
4560,1.602168,1.14e-04,226.9
4570,1.597363,1.14e-04,222.5
4580,1.391703,1.14e-04,206.0
4590,1.550703,1.13e-04,219.9
4600,1.585776,1.13e-04,215.1
4610,1.523682,1.13e-04,212.8
4620,1.512253,1.12e-04,213.9
4630,1.414286,1.12e-04,200.0
4640,1.560180,1.12e-04,206.1
4650,1.435575,1.11e-04,199.3
4660,1.620108,1.11e-04,215.7
4670,1.309060,1.11e-04,197.0
4680,1.352286,1.10e-04,192.0
4690,1.566948,1.10e-04,206.2
4700,1.588821,1.10e-04,211.9
4710,1.455762,1.10e-04,196.7
4720,1.489627,1.09e-04,198.4
4730,1.548568,1.09e-04,217.7
4740,1.369458,1.09e-04,198.9
4750,1.559190,1.08e-04,208.6
4760,1.364444,1.08e-04,196.1
4770,1.428616,1.08e-04,201.0
4780,1.612111,1.07e-04,208.2
4790,1.522624,1.07e-04,214.6
4800,1.596508,1.07e-04,205.6
4810,1.548247,1.06e-04,214.0
4820,1.618925,1.06e-04,215.9
4830,1.425537,1.06e-04,206.3
4840,1.560430,1.05e-04,209.9
4850,1.547805,1.05e-04,207.2
4860,1.536062,1.05e-04,207.4
4870,1.329845,1.04e-04,188.6
4880,1.429131,1.04e-04,208.1
4890,1.301221,1.04e-04,202.1
4900,1.449291,1.03e-04,217.2
4910,1.546448,1.03e-04,219.3
4920,1.474031,1.03e-04,217.0
4930,1.436277,1.02e-04,201.3
